name,screen_name,location,url,followers_count,friends_count,statuses_count,created_at,bySheet,keywords,display_url,listed_count,favourites_count,expanded_url,location,description
Richard Shelby,SenShelby,"Tuscaloosa, Alabama",https://t.co/1iULT8X6Vz,50544,420,1543,Tue Feb 17 17:53:43 +0000 2009,Senators,Richard Shelby,,1803,228,,"Tuscaloosa, Alabama",The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf
Pascal Caputo,pascal_caputo,"Birmingham, AL",http://t.co/h0InTFl4JY,880,419,1,Fri Dec 05 05:58:50 +0000 2008,Senators,Richard Shelby,,51,10,,"Birmingham, AL",Former Chief of Staff/Counsel to Jefferson County Commission President David Carrington and stafffer to U.S. Senator Richard Shelby.
Stu Shelby,StuShelby,Austin,,644,633,2937,Sat Feb 28 04:10:13 +0000 2009,Senators,Richard Shelby,,15,2392,,Austin,"Jesus upended my world. I love Crissy & our Four. A hike or paddling in kayaks is a great way to spend the day w/ them. Rector of St. Richard's, Round Rock, TX"
UNITY:Richard Shelby,ShelbyTrump16,"Alabama, USA",https://t.co/blUQilhuV7,318,1586,8,Tue Jul 05 17:46:56 +0000 2016,Senators,Richard Shelby,,4,26,,"Alabama, USA",Unofficial Unity Campaign! Vote Richard Shelby for Senate and Donal Trump for POTUS in 2016! Make Alabama Great Again!
Shelby Richard,shelbb_ox,"CROSSLAKE MANITOBA , CANADA",https://t.co/M7jBr1NF2F,582,1243,483,Wed Jun 01 20:58:13 +0000 2011,Senators,Richard Shelby,,4,99,,"CROSSLAKE MANITOBA , CANADA","canadian, aboriginal, 23 years, momma of one child, i'm shy& i Love Smoking Kush; follow me & ill follow back!:)"
Richard Shelby,richards6402,,,12,10,3,Sat Jan 24 12:24:06 +0000 2009,Senators,Richard Shelby,,0,0,,,
Not Richard Shelby,SenatorShelby,,http://t.co/KfPbvTXwNa,51,0,1,Tue Sep 23 21:13:08 +0000 2008,Senators,Richard Shelby,,2,0,,,Follow U.S. Senator Richard Shelby @RichardShelby
Shelby Richard,shelby_richard,canada,http://t.co/jP1eksl0Qf,18,33,90,Mon Sep 20 16:16:50 +0000 2010,Senators,Richard Shelby,,0,6,,canada,country girl in  ridgeway CANADA
Richard Shelby,simplyforex,,,32,35,2409,Fri Apr 30 02:13:57 +0000 2010,Senators,Richard Shelby,,0,0,,,
Shelby Melita,Sh2lbyRichard,,,0,4,2,Tue Aug 11 16:49:38 +0000 2009,Senators,Richard Shelby,,0,0,,,
Richard Shelby,richardshelby35,,,25,70,1,Mon Mar 31 16:20:26 +0000 2014,Senators,Richard Shelby,,0,0,,,#LSU #SAFETY #DDP
Richard Shelby,aprilshalby,,,0,0,0,Mon Dec 22 04:49:44 +0000 2014,Senators,Richard Shelby,,0,0,,,
Richard & Shelby,ScaryAdventure,"Wellington City, New Zealand",http://t.co/qo1FwJEIi0,6,14,10,Mon Aug 25 19:37:44 +0000 2014,Senators,Richard Shelby,,0,0,,"Wellington City, New Zealand",
Richard Shelby,aliensonthemoon,,http://t.co/Fcd62Uy3WY,4,16,12,Thu Jun 18 17:23:53 +0000 2009,Senators,Richard Shelby,,0,29,,,
Shelby Gross,RichardSwoboda,,,14,51,1,Thu Oct 25 00:39:57 +0000 2012,Senators,Richard Shelby,,0,1732,,,
Richard Shelby,richardshelby07,,,26,95,3,Tue Jul 01 18:46:21 +0000 2014,Senators,Richard Shelby,,0,7,,,
Shelby Richard,ShelbyRichard8,"Welsh, LA",,154,255,318,Sun Apr 12 04:04:00 +0000 2015,Senators,Richard Shelby,,1,1216,,"Welsh, LA",
Richard Shelby,Annsorchards,,,10,1,0,Wed Apr 29 00:08:43 +0000 2009,Senators,Richard Shelby,,0,0,,,
Shelby Richard,shrichard,Minnesota,https://t.co/q8lA5V1PYN,76,184,4384,Fri Jan 01 03:42:27 +0000 2010,Senators,Richard Shelby,,1,651,,Minnesota,Cue the point in life where we second guess all our decisions
Richard Shelby,RichardShelby14,,,2,58,0,Thu May 04 02:24:11 +0000 2017,Senators,Richard Shelby,,0,0,,,
Luther Strange,lutherstrange,"Montgomery, Alabama",https://t.co/kvZnWSA1y5,10071,1479,1809,Tue Jun 17 02:02:08 +0000 2008,Senators,Luther Strange,,312,37,,"Montgomery, Alabama",U.S. Senator for Alabama. Husband. Father. Constitutional Conservative. #tcot #ruleoflaw
Sen Luther Strange,SenatorStrange,"Alabama, USA",,4590,168,464,Thu Feb 09 20:49:11 +0000 2017,Senators,Luther Strange,,247,180,,"Alabama, USA",Official Twitter account for Alabama Senator Luther Strange
Michael Joffrion,mfjoffrion,"Birmingham, AL",,456,742,547,Fri Dec 30 07:27:32 +0000 2011,Senators,Luther Strange,,10,138,,"Birmingham, AL","Former Luther Strange CM, NRSC RPD, and Romney alum. Edward & Elizabeth’s dad, audiophile, and lucky husband"
Justin_Jordan,Justin_Jordan,,http://t.co/4boA7vpgaW,8305,3818,18585,Tue Apr 01 20:54:16 +0000 2008,Senators,Luther Strange,,196,54,,,"Writer Monkey - The Strange Talent of Luther Strode, Triceracop"
Swamp Drainers PAC,SwampDrainersUS,United States,,1673,1962,3,Fri Jan 01 22:15:34 +0000 2016,Senators,Luther Strange,,9,2,,United States,Swamp Drainers PAC // Stop Luther Strange 2017
@BigLutherforAG,BigLutherforAG,,http://t.co/iOhiyLNZO3,2120,1529,551,Mon May 20 20:05:42 +0000 2013,Senators,Luther Strange,,24,1,,,Official page of Alabama Attorney General Luther Strange's re-election campaign.
Keep Luther Strange!,LutherForSenate,"Birmingham, AL",https://t.co/kvZnWSA1y5,10,5,10,Wed Nov 23 14:18:26 +0000 2016,Senators,Luther Strange,,0,0,,"Birmingham, AL",Alabamians working to keep @LutherStrange in the United States Senate. (Not affiliated with the campaign.)
Write in Luther Strange!,WriteLuther,"Alabama, USA",,12,39,311,Sun Nov 12 23:51:24 +0000 2017,Senators,Luther Strange,,0,110,,"Alabama, USA","Please consider writing in Luther Strange on 12/12/2017! Let's have the BEST candidate for Alabama!

With enough support we can Make Alabama Great Again!

#MAGA"
Write in Luther Strange for US Senator!,WriteInLuther17,"Alabama, USA",https://t.co/QgJMSYTiUW,5,41,14,Fri Nov 10 03:11:47 +0000 2017,Senators,Luther Strange,,0,2,,"Alabama, USA",
☠,freejezza,"Know yourself,know your worth.",,804,765,17925,Mon Feb 13 02:14:20 +0000 2012,Senators,Luther Strange,,4,19403,,"Know yourself,know your worth.","I'm a new soul, I came to this strange world. Hoping I could learn a bit about how to give and take. Free spirit. Wild heart. Martin Luther King Jr. is my hero."
Darren,strange1luther,,,96,201,81,Thu Jul 23 23:39:37 +0000 2009,Senators,Luther Strange,,0,25,,,
Luther Strange,Strange4Senate,,,0,0,0,Wed Nov 23 14:15:42 +0000 2016,Senators,Luther Strange,,0,0,,,
Luther Strange,SenStrange,,,0,0,0,Tue Feb 07 00:37:57 +0000 2017,Senators,Luther Strange,,0,0,,,
Lisa Murkowski,LisaForSenate,Alaska,https://t.co/EOhO8gjrwA,4913,509,1019,Wed Jun 02 23:58:26 +0000 2010,Senators,Lisa Murkowski,,218,6,,Alaska,Fighting for Alaska. Always.
Sen. Lisa Murkowski,lisamurkowski,"Alaska & Washington, D.C.",https://t.co/I9sMLHODtC,158575,546,4843,Thu Dec 11 21:55:19 +0000 2008,Senators,Lisa Murkowski,,3009,86,,"Alaska & Washington, D.C.",Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.
Karina Petersen,karinalpetersen,United States,,413,260,155,Tue Mar 31 06:52:04 +0000 2009,Senators,Lisa Murkowski,,39,12,,United States,Communications Director for U.S. Senator Lisa Murkowski. Previously with international relief org Samaritan's Purse. Former reporter/anchor. Lifelong Alaskan.
Lisa Murkowski,MurkyMurkowski,Washington DC,http://t.co/GUWfHxxpQ6,224,314,89,Fri Jun 18 09:05:58 +0000 2010,Senators,Lisa Murkowski,,10,0,,Washington DC,I reject the false choice between staying beholden to constituents or principles and playing the big government game in Washington.
GSPP Lisa Murkowski,gspp_lmurkowski,,,68,65,53,Wed Nov 02 02:59:02 +0000 2016,Senators,Lisa Murkowski,,2,90,,,"Senior Republican Senator from Alaska. This account is for @GoldmanSchool budget simulation, not the real Lisa Murkowski."
